Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767620402,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1767620403,15,POST,/apartment/add,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,199.07959998818114,199.07959998818114,199.07959998818114,199.07959998818114,87.0
1767620403,15,GET,/booking/listavailableappartments,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,140.68979999865405,140.68979999865405,140.68979999865405,140.68979999865405,29.0
1767620403,15,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,140.68979999865405,169.8846999934176,140.68979999865405,199.07959998818114,58.0
1767620404,45,POST,/apartment/add,0.000000,0.000000,900,1400,1700,1700,1800,1800,1800,1800,1800,1800,1800,9,0,890.0,972.8886555531062,199.07959998818114,1831.008400011342,87.0
1767620404,45,POST,/booking/add,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,279.15159999975003,279.15159999975003,279.15159999975003,279.15159999975003,85.0
1767620404,45,GET,/booking/listavailableappartments,0.000000,0.000000,1200,1200,1300,1500,1600,1600,1600,1600,1600,1600,1600,10,0,320.0,796.904190001078,140.68979999865405,1642.708200000925,66.8
1767620404,45,GET,/search/search,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,5,590.0,586.0332999902312,419.8360999871511,721.2550999829546,290.0
1767620404,45,,Aggregated,0.000000,0.000000,660,1200,1300,1400,1600,1700,1800,1800,1800,1800,1800,25,5,630.0,797.3743159975857,140.68979999865405,1831.008400011342,119.44
1767620405,60,POST,/apartment/add,1.000000,0.000000,1300,1600,1700,1700,1800,2700,2700,2700,2700,2700,2700,12,0,900.0,1188.7092916634476,199.07959998818114,2651.2172000075225,87.0
1767620405,60,POST,/booking/add,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,279.15159999975003,279.15159999975003,279.15159999975003,279.15159999975003,85.0
1767620405,60,GET,/booking/listavailableappartments,1.000000,0.000000,1200,1300,1600,1600,1700,2300,2300,2300,2300,2300,2300,19,0,830.0,981.2096473730268,140.68979999865405,2340.154400008032,259.5263157894737
1767620405,60,GET,/search/search,0.000000,0.000000,620,620,720,720,1800,1800,1800,1800,1800,1800,1800,6,6,590.0,785.8216166593289,419.8360999871511,1784.763200004818,290.0
1767620405,60,,Aggregated,2.000000,0.000000,890,1300,1600,1600,1800,2300,2700,2700,2700,2700,2700,38,6,720.0,997.4098973685423,140.68979999865405,2651.2172000075225,205.26315789473685
1767620406,75,POST,/apartment/add,4.500000,0.000000,1300,1400,1700,1800,1900,2700,2700,2700,2700,2700,2700,19,0,1300.0,1275.2002473663244,199.07959998818114,2651.2172000075225,87.0
1767620406,75,POST,/booking/add,0.500000,0.000000,880,880,2100,2100,2100,2100,2100,2100,2100,2100,2100,4,0,830.0,1023.1966750070569,279.15159999975003,2103.134700009832,75.0
1767620406,75,GET,/booking/listavailableappartments,5.000000,0.000000,930,1300,1600,1600,1700,2300,4000,4000,4000,4000,4000,24,0,890.0,1095.4968291710732,140.68979999865405,4028.396299981978,383.5833333333333
1767620406,75,GET,/search/search,2.500000,2.500000,990,1200,1200,1200,1800,1900,1900,1900,1900,1900,1900,11,11,990.0,1004.0988181797068,419.8360999871511,1876.544799975818,290.0
1767620406,75,,Aggregated,12.500000,2.500000,1100,1300,1600,1600,1900,2300,2700,4000,4000,4000,4000,58,11,990.0,1132.044867242602,140.68979999865405,4028.396299981978,247.39655172413794
1767620407,90,POST,/apartment/add,4.000000,0.000000,1300,1500,1700,1800,1900,2700,3200,3200,3200,3200,3200,23,0,1300.0,1346.1498043464455,199.07959998818114,3181.7565000092145,87.0
1767620407,90,POST,/booking/add,0.333333,0.000000,880,880,2100,2100,2100,2100,2100,2100,2100,2100,2100,4,0,830.0,1023.1966750070569,279.15159999975003,2103.134700009832,75.0
1767620407,90,PUT,/booking/change,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,661.9016999902669,661.9016999902669,661.9016999902669,661.9016999902669,65.0
1767620407,90,GET,/booking/listavailableappartments,6.333333,0.000000,950,1300,1600,1600,1900,2300,4000,4000,4000,4000,4000,25,0,930.0,1128.209680004511,140.68979999865405,4028.396299981978,407.72
1767620407,90,GET,/search/search,1.666667,1.666667,1000,1200,1200,1800,1900,2200,2200,2200,2200,2200,2200,14,14,990.0,1089.2547642849552,419.8360999871511,2212.3018999991473,290.0
1767620407,90,,Aggregated,12.333333,1.666667,1000,1300,1600,1700,1900,2300,3200,4000,4000,4000,4000,67,14,1000.0,1181.6558597028193,140.68979999865405,4028.396299981978,248.044776119403
1767620408,105,POST,/apartment/add,4.500000,0.000000,1400,1800,1900,2300,2400,2700,3200,3200,3200,3200,3200,28,0,1400.0,1511.3871357118894,199.07959998818114,3181.7565000092145,87.0
1767620408,105,POST,/booking/add,1.000000,0.000000,1400,1700,2100,2100,2600,2600,2600,2600,2600,2600,2600,7,0,1400.0,1403.6099000035651,279.15159999975003,2553.3901999879163,79.28571428571429
1767620408,105,PUT,/booking/change,0.000000,0.000000,660,660,660,660,660,660,660,660,660,660,660,1,0,661.9016999902669,661.9016999902669,661.9016999902669,661.9016999902669,65.0
1767620408,105,GET,/booking/listavailableappartments,5.250000,0.000000,1300,1600,1700,1900,3700,4000,4200,4200,4200,4200,4200,31,0,1200.0,1384.9510580682452,140.68979999865405,4187.9411000118125,556.741935483871
1767620408,105,GET,/search/search,2.500000,2.500000,1000,1200,1800,1800,2200,2600,2600,2600,2600,2600,2600,16,16,1000.0,1205.7701374978933,419.8360999871511,2615.698899986455,290.0
1767620408,105,,Aggregated,13.250000,2.500000,1300,1600,1800,1900,2300,2700,4000,4200,4200,4200,4200,83,16,1200.0,1385.9254915666268,140.68979999865405,4187.9411000118125,300.66265060240966
1767620409,120,POST,/apartment/add,4.400000,0.000000,1700,1900,2100,2300,2700,4300,7000,7000,7000,7000,7000,35,0,1700.0,1806.2430428557232,199.07959998818114,7003.8494000036735,87.0
1767620409,120,POST,/booking/add,0.800000,0.000000,1900,2100,2100,2600,3000,3000,3000,3000,3000,3000,3000,10,0,1700.0,1682.5918099988485,279.15159999975003,3018.5266999760643,79.0
1767620409,120,PUT,/booking/change,0.200000,0.000000,660,660,660,660,660,660,660,660,660,660,660,1,0,661.9016999902669,661.9016999902669,661.9016999902669,661.9016999902669,65.0
