Method,Name,Error,Occurrences
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e68123a350>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e681007c10>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6800faf50>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ffa28cd0>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e680f3c510>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6801b0c50>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e681c12190>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fce51210>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff22f0d0>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e681b45590>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff9e9790>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6814c0050>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff248e10>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e681283590>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fedc9d50>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6814b7890>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff24a510>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e680145550>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6819b8e10>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fcdef650>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e680fecbd0>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
POST,/reservation,HTTPError('500 Server Error: Internal Server Error for url: /reservation'),66
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff5bffd0>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e68197e650>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6814c2e10>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e680c43d50>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fe9cae90>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e680c3b750>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff97f5d0>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff1f0d10>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fcdec110>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fce09810>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fed67290>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fe5e96d0>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fe58fad0>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e680832010>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6819d0c50>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ffda1050>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff2018d0>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e68017c450>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e681a26410>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff1d2450>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/recommendations,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff9bf8d0>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6ff647090>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fed65b50>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fe9d0950>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6807ee9d0>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
GET,/hotels,"ConnectTimeoutError(<HTTPConnection(host='192.168.1.237', port=5000) at 0x1e6fed9a850>, 'Connection to 192.168.1.237 timed out. (connect timeout=None)')",1
